lemma_id	lemma	dcs_grammar	raw	declined	presind	acc_rate	gloss
39042	ṛṣi	m	5352	4444	0		a singer of sacred hymns; an inspired poet or sage; any person who alone or with others invokes the deities in rhythmical speech or song of a sacred character; a saint or sanctified sage in general; an ascetic; anchorite (this is a later sense); the seventh of the eight degrees of Brāhmans; a hymn or Mantra composed by a ṣi; the Veda; a symbolical expression for the number seven; the moon; an imaginary circle; a ray of light; the fish Cyprinus Rishi
92688	paśu	m	5296	4506	0		cattle; kine; a domestic animal (as opp. to mṛga); a mere animal in sacred things i.e. an uninitiated person; an animal sacrifice; flesh; a goat; a subordinate deity and one of Śiva's followers; a sacrificial animal; domestic animal; name of a people
111378	sahasra	mn	5224	3678	0		a thousandth; the thousandth
48483	bhagavant	m	5188	4941	0		name of Kṛṣṇa; name of Śiva; name of a Buddha or a Bodhisattva or a Jina; name of Viṣṇu; name of Brahmā; a Jina or Arhat
213150	u	ind	5143	11	0		[gramm.] the sound or letter u; a particle; [gramm.] a kṛt affix; also; further; on the other hand; indeed (anaphoric use with pronouns); now (expletive after kim etc.)
136827	mukha	n	5102	4128	0		the mouth; face; countenance; the beak of a bird; snout or muzzle of an animal; a direction; quarter; the mouth or spout of a vessel; opening aperture; entrance into or egress out of (gen. or comp.); the mouth or embouchure (of a river); the fore part; front; van (of an army); the upper part; head; top; tip or point of anything; the edge (of an axe); the nipple (of a breast); the surface; upper side; the chief; principal; best; introduction; commencement; beginning; source; cause; occasion of (gen. or comp.); (in dram.) the original cause or source of the action; (in alg.) the first term or initial quantity of a progression; (in geom.) the side opposite to the base; the summit; the Veda; rock salt; copper; [alchemy] a kind of jāraṇā; [min.] (bei kānta: Polarit￤t?)
44242	nara	m	5101	3197	0		a man; a male; a person; husband; hero; a man or piece at chess or draughts; the pin or gnomon of a sun-dial; person; personal termination; the primeval Man or eternal spirit pervading the universe (always associated with Nārāyaṇa); a class of myth. beings allied to the Gandharvas and Kiṃnaras; name of a son of Manu Tāmasa; name of a son of Viśvāmitra; name of a son of Gaya and father of Virāj; name of a son of Sudhṛti and father of Kevala; name of a son of Bhavanmanyu (Manyu) and father of Saṃkṛti; name of Bhāradvāja; name of 2 kings of Kaśmīra; name of one of the 10 horses of the Moon; [rel.] a form of Viṣṇu
11658	anta	m	5079	4366	0		end; limit; boundary; term; end of a texture; end; conclusion; end of life; death; destruction (in these latter senses some times neut.); a final syllable; termination; last word of a compound; pause; settlement; definite ascertainment; certainty; whole amount; border; outskirt; nearness; proximity; presence; inner part; inside; condition; nature; a shore; [gramm.] the suffix 'ant'; a frontier region; finity
33528	nāma	ind	5067	0	0		by name i.e. named; called; indeed; certainly; really; of course; quasi; only in appearance; however; nevertheless
44133	namas	n	5063	5002	0		bow; obeisance; reverential salutation; adoration (by gesture or word); food; a thunderbolt; gift; donation
157151	jñā	4. Ā.	5041	2044	1073	0.81	to know; to have knowledge; to become acquainted with; to perceive; to apprehend; to understand; to experience; to recognise; to ascertain; to investigate; to know as; to know or perceive that; to regard or consider as
96401	tapas	n	4968	4091	0		warmth; heat; pain; suffering; religious austerity; bodily mortification; penance; severe meditation; special observance; = tapoloka; fervor
55629	uttama	adj	4922	4456	0		uppermost; highest; chief; most elevated; principal; best; excellent; first; greatest; the highest (tone); the most removed or last in place or order or time; last
165692	pañcan	adj	4859	3121	0		five
73233	yatra	ind	4833	0	0		where; wherein; wherever; whither
