rank	lemma_id	lemma	dcs_grammar	upos	count	gloss
37459	142646	veddhṛ	adj	ADJ	3	one who pierces or hits (a mark)
37460	15399	paṇana	n	NOUN	3	purchasing; buying; sale; selling; dealing in (comp.); betting
37461	222134	aprāptaka	adj	ADJ	3	noch nicht zum Abschlu￟ gelangt; unvollkommen; unrein (Gold)
37462	125505	gauḍika	adj	ADJ	3	prepared with sugar or molasses; fit for the preparation of sugar; Rum-; aus dem Lande Gauḍa stammend
37463	222146	pṛṣata	n	NOUN	3	the making of beads (of gold etc.); a bead
37464	19318	paribhāṇḍa	n	NOUN	3	furniture; utensils; the encircling metal (in the setting of gems etc.)
37465	222038	saṃyūhya	n	NOUN	3	the work of gold-plating
37466	222033	avalepya	n	NOUN	3	coating (a copper or silver article)
37467	222031	piṅka	m	NOUN	3	das Pichen (eine betr￼gerische Manipulation des Goldarbeiters); embedding (as a means of pilfering by artisans)
37468	13333	kācaka	m	NOUN	3	glass; stone; alkaline ashes
37469	19579	parivartaka	m	NOUN	3	the artificial separation of vowels and consonants to get another meaning of a word; change of occupation; name of a son of Duḥsaha (son of Mṛtyu); Tausch; Tauschhandel; barter
37470	81660	lepya	n	NOUN	3	plastering; moulding; modelling
37471	219591	sūpakāra	m	NOUN	3	a cook
37472	51205	cālanikā	f	NOUN	3	= ūnī
37473	143162	vellitaka	n	NOUN	3	crossing (instr. crosswise); [medic.] a kind of suture
37474	110470	hula	m	NOUN	3	a particular kind of warlike implement; [erotics]
37475	42401	dhānyamāṣa	m	NOUN	3	a particular measure
37476	203106	suvarṇamāṣaka	m	NOUN	3	a kind of weight; = suvarṇamāṣa
37477	203013	taulika	adj	ADJ	3	(ifc.) containing N tulās
37478	211997	dhāraṇika	adj	ADJ	3	
37479	738	kaṭaśarkarā	f	NOUN	3	species of sugar-cane; Guilandina Bonducella
37480	101844	saurika	m	NOUN	3	the planet Saturn; heaven; paradise; a vendor of alcohol
